Vendor,Category,City,Phone,Email,Description,Google Maps,IG
Driss Traiteur,Caterer,Casablanca,06 61157191,Traiteurdriss@gmail.com,,"Route d'el jadida quartier Guynemer, rue 1 N°14, Casablanca, Morocco",https://www.instagram.com/drisstraiteur/
Sweet Ceremony,Decor,El Jadida,06 89810747 ,,"✨️Créations de rêve : Tyafer, Buffet, Chocolat✨ Naissance ‖ Mariage ‖ Fiançailles ‖ Anniversaire","75, Av Hassan 2, El jadida",https://www.instagram.com/sweet.ceremony_/?hl=en
Abdou coiff,Makeup,El Jadida,06 21247278,,Haïrstyle for: célébrites/wedding,,https://www.instagram.com/abdou__coif/?hl=en
Events house,Event Planner,Marrakech / Meknes,,,💍𝑳𝒖𝒙𝒖𝒓𝒚 𝑾𝒆𝒅𝒅𝒊𝒏𝒈𝒔 & 𝑬𝒗𝒆𝒏𝒕𝒔 𝑷𝒍𝒂𝒏𝒏𝒆𝒓,,https://www.instagram.com/eventshouse/
Maison Bargach,Caterer,Tanger,05 39348686,,,,https://www.instagram.com/maisonbargach/
Maison Dalis,Caterer,Casablanca,0661-178753,,"Maison Dalis ✨ Traiteur, Créateur de réceptions sur mesure Partout au Maroc",,https://www.instagram.com/maisondalis/
Gloryevent,Event Planner,Agadir,,,"You dream, We create Luxury Weddings & Private Events Planning | Design | Production",,https://www.instagram.com/glory__event_/?hl=en
So Nice,Caterer / Decor,Agadir,06 66757403,,𝐓𝐫𝐚𝐢𝐭𝐞𝐮𝐫 - 𝐰𝐞𝐝𝐝𝐢𝐧𝐠 𝐩𝐥𝐚𝐧𝐧𝐞𝐫 - 𝐨𝐫𝐠𝐚𝐧𝐢𝐬𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐛𝐮𝐟𝐟𝐞𝐭𝐬 - 𝐃é𝐜𝐨𝐫𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐬𝐚𝐥𝐥𝐞𝐬 𝐝𝐞𝐬 𝐟ê𝐭𝐞𝐬 - 𝐥𝐨𝐜𝐚𝐭𝐢𝐨𝐧 𝐝𝐞 𝐭𝐲𝐚𝐟𝐞𝐫,maps.app.goo.gl/4xfvJMSekx3WZ1Cc7?g_st=iw,https://www.instagram.com/so_nice_event_/
ZED EVENT,Event Planner,Agadir,06 95698803,,✨We turn simple days into lifetime memories🎉Picnics • Birthdays • Proposals,,https://www.instagram.com/zedd_event/?hl=en
Coin Des Fleurs,Florist,Agadir,06 71720190,,"-Vente des fleurs des plantes
-Décoration florale",,https://www.instagram.com/coin_des_fleurs/
Sara Robe,Dresses,Agadir,06 76670352,,Location des robes de mariée,,https://www.instagram.com/sararobe.agadir/?hl=en
Zahra Saad ,Makeup,Agadir,06 02561105,,,,https://www.instagram.com/zahra_saad_mua/
Berrada Prestige,Caterer,Casablanca,06 50605988,,,,https://www.instagram.com/berrada_prestige/
Ghizlane Azgani,Makeup,Agadir,06 15029916,,,,https://www.instagram.com/theghizlaneazgani/?hl=en
Achraf events,Event Planner,Agadir,06 79822483,,"Créateurs De Moments Magiques Expert En Décoration Florale,Bougies,Mise En Place,Pièce Montée Et Bien Plus Encore.",,https://www.instagram.com/achrafevents/?hl=en
Negafa samira,Negafa,Agadir,06 66918509,,,,https://www.instagram.com/negafa_samira_agadir/?hl=en
El Mansori Events,Event Planner,Agadir,0661-212107,,Moroccan Luxury Events and Weddings📍Maroc 🇲🇦 Since 1990,,https://www.instagram.com/elmansoriabderrahim/?hl=en
Villa JOURI,Venue,Agadir,06 13 22 62 11,,"✨ Location pour toutes vos occasions spéciales 🌴 Jardin luxuriant & piscine privée 🌅 Luxe, confort et sérénité",,https://www.instagram.com/villa_jouri_agadir/
L'atelier des fleurs,Florist,Agadir,0667 57 06 66,,,,https://www.instagram.com/latelierdesfleurs_ma/
Marie.m,Florist,Rabat,0665 75 33 04,mariemfleuriste.rabat@gmail.com,,"18 rue Zalagh, Rabat, Morocco 10090",https://www.instagram.com/mariemfleuriste_rabat/
Le Bouket,Florist,Rabat,0537 67 17 07,contact@lebouket.ma,- Art floral 📍Rabat- Abonnements & Bouquets Personnalisés.- Mariages & Événements.- fleurs séchées et stabilisées.,"102 Av. Fal Ould Oumier, Rabat, Rabat, Morocco 10106",https://www.instagram.com/lebouket/
She Said Flowers,Florist,Casablanca,06 64232474,,,"65 lot, rue de l'Isere, Casablanca, Morocco 20100",https://www.instagram.com/shesaidflowers/
layal fleurs,Florist,Agadir,06 07688383,,🌸 Layal Fleurs - Fleuriste à Agadir 💐 Bouquets | Mariage | Déco florale,"Hey Salam, Résidence ANNAHDA",https://www.instagram.com/layalfleurs/?hl=en
Chaima ZENNATI,Florist,Agadir,06 23701948,,,"Avenue 11 janvier, hay dakhla, Agadir, Morocco 80000",https://www.instagram.com/chayworkshop/?hl=en
Lartiste deco,Florist,Agadir,0690 177 350,,boutique mini pépinière 🌱boutique flowers 🌹décoration intérieure et extérieur,"https://www.google.com/maps/place/Fleuriste+Hay+El+Houda/@30.3972938,-9.5333971,17z/data=!3m1!4b1!4m6!3m5!1s0xdb3c942acc41c9b:0xa42ca192cda946cf!8m2!3d30.3972938!4d-9.5333971!16s%2Fg%2F11rwwldlsy?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/lartiste.deco/?hl=en
Tilila Blossom,Florist,Agadir,0710-207223,,"💐Fleurs libres et permanentes🪴Plantes d’intérieur naturelles🎁Cadeaux gourmands : chocolats, thés et senteurs🕒 10h-20h du lundi au samedi","Immeuble Igoudar , Avenue des FAR - Agadir, Agadir, Morocco",https://www.instagram.com/tilila_blossom/?hl=en
Mohamed El khadir,Photographer,Agadir,06 15838444,photographeagadir@gmail.com,,"Avenue Kenitra N 19 Hay Mohammadi, Agadir",https://www.instagram.com/photographe_agadir/?hl=en
ADAM FLOWERS,Florist,Marrakech,0708-828644,,💐decorations pour les mariages et événement/ occasions spéciale🎁 Coffret de roses cadeaux,"https://www.google.com/maps/place/Adam+Flowers/@31.5944934,-8.0463934,17z/data=!3m1!4b1!4m6!3m5!1s0xdafef0f6bb6dd77:0x681a007f4f7ef2ac!8m2!3d31.5944934!4d-8.0463934!16s%2Fg%2F11v10k0zjn?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/adam____flowers/
Atelier Nude,Florist,Casablanca,07 72000240,,,"https://www.google.com/maps/place/Atelier+Nude,+9+Rue+Ain+El+Aouda,+Casablanca+20000/@33.5939384,-7.6409247,16z/data=!4m6!3m5!1s0xda7d37855c1dcc9:0x4923439ecc3562a0!8m2!3d33.5939384!4d-7.6409247!16s%2Fg%2F11q3n5xvxm?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGndXpSV2B4Vb3wGeCgK4347qiNxFZOP0T1Q5VhNBTvO5U25lBnWDZ7RPqBMrU_aem_1BF0VT72v_aHV3EzWLRbvA",https://www.instagram.com/atelier_nude/
yassine events,Event Planner,Marrakech,06.61.69.10.42,Yassinevents@gmail.com,,,https://www.instagram.com/yassine_events/
Negafa Elzemrania,Negafa,Marrakech,06.61.71.17.44,,,goo.gl/maps/zPzFHKf8QBgEGYVCA,https://www.instagram.com/negafa_elzemrania/
Afrah Dar Lfakia,Caterer,Agadir,06 48660279,,Traiteur et organisateur - buffets personnalisés - TyafferPour tous vos évènements,,https://www.instagram.com/afrah.dar.lfakia/
Negafa Arouss,Negafa,Marrakech,,aroussmarrakech@gmail.com,"✴Arouss Marrakech by Amal✴Tangaft de Luxe 👰✴Mariage, Fiançailles et Baptême",,https://www.instagram.com/aroussmarrakech/
MAEV Weddings,Event Planner,Marrakech,06 62 426 830,info@studiomaev.com,,,https://www.instagram.com/maev_weddings/
BoutiqueSouk,Event Planner,Marrakech,06 61 324 475,info@boutiquesouk.com,,,https://www.instagram.com/boutiquesouk_weddings/
Benyounes luxury wedding,Event Planner,Casablanca,06 61 379 278,,Maître Traiteur d'Exception | Mariages de prestige & Événements corporate,Bo mohamed zerktouni Twin center,https://www.instagram.com/benyounes_luxury_wedding/
Moughit Cérémonies,Event Planner,Casablanca,06 61 18 87 01,,"Organisation des cérémonies et événements avec toute une équipe professionnelle
Vous rêvez, Nous réalisons ",maps.app.goo.gl/U7fJFphySdfiRGro8?g_st=ic,https://www.instagram.com/moughit.ceremonies1/
imane tirich,Photographer,Marrakech,0626-510363,,"Hi, I’m Imane – a passionate, award-winning photographer with over 15 years of experience capturing love stories across the stunning landscapes of Morocco. 
My approach is all about genuine emotion. I believe the best photos come from real, unscripted moments—those fleeting glances, quiet laughs, and joyful tears that make your wedding day (or any special moment) truly unforgettable. 
Whether you're planning a wedding, an engagement session, a romantic couple’s shoot, or a family photoshoot, I’ll be there to capture your story with heart and artistry. ",,https://www.instagram.com/imane_tirich_photography/
Momento shots,Photographer,Marrakech,0651-459007,,,,https://www.instagram.com/momento_shots/
Camelias Benyahia,Photographer,Marrakech,,,,,https://www.instagram.com/cameliasbenyahia_photography/
Alami photography,Photographer,Marrakech,,alamiphotography.contact@gmail.com,"Photographer & Videographer | Capturing Timeless Beauty & Emotion 💖 | Natural, Elegant Fine Art Weddings",,https://www.instagram.com/alami_photography/
Maroc sensations,Event Planner,Marrakech,06 28 87 72 73,,"Event & Wedding Planner since 2012,",,https://www.instagram.com/marocsensations/
Le Goût Traiteur,Caterer,Casablanca,06 35890774,,,,https://www.instagram.com/le_gout_traiteur_//
DJ C4 ,Artist,Marrakech,,,DJ C4 🎶 Luxury Weddings & Events,,https://www.instagram.com/djc4brahim/
ma colline,Event Planner,Marrakech,0679-363841,,,,https://www.instagram.com/macolline/
Salle Des Fêtes Floritta,Venue,Marrakech,0662-606404,,,Route Ourika En face Hôtel El Olivar Palace,https://www.instagram.com/salle.floritta/
Palais Inji,Venue,Rabat,06 61 06 00 78,,"💍 Mariages | 🎉 Événements | 🎂 Baptêmes
🌟 Un cadre élégant et un service personnalisé",maps.app.goo.gl/crS3R7tiSBzjQLrS7,https://www.instagram.com/palais_inji/
Ô Palmiers,Venue,Casablanca,06 66165929,,Nous vous accueillons dans un lieu exceptionnel pour tous vos événements privés & pros ,,https://www.instagram.com/o.palmiers.by.jad/
Belbacha traiteur,Venue,Casablanca,06 61 322 952,,"Saveurs d’exception • Service haut de gamme
Événements privés & professionnels",,https://www.instagram.com/belbacha.traiteur/
villa dar diafa,Venue,Casablanca,06 00660711,,Villa privilégié pour célébrer des événements,,https://www.instagram.com/villa_dar_diafa//
Palais Yara,Venue,Casablanca,06 66407353,,"La destination idéale pour organiser vos mariages, séminaires et événements privés","Palais Yara, Thami Village, La Rocade, Casablanca, Morocco 20200",https://www.instagram.com/palaisyara/
Salle Goden Housevip,Venue,Casablanca,06 80684400,,"Organisation événementiels
art et décoration
wedding planner
services traiteur-buffet
fêtes-anniversaire et mariage",,https://www.instagram.com/golden_housevip/
Salle de fête Ksar El Bahja,Venue,Marrakech,06 61 75 80 57,,"⭐️ Un lieu magique pour vos événements
💍 Organisation de mariage et tout autre événement",,https://www.instagram.com/ksar_elbahja/
Salle de féte El Ouazzani.M,Venue,Marrakech,06 66071536,,,Av. PANAMA RTE IMOUZZAR N°2 FES,https://www.instagram.com/salle_de_fete_el_ouazzani.m/
Palais Laraki,Venue,Meknes,0661-804348,,🎉Célébrez des moments spéciaux avec Palais Laraki 👰Mariages | 🥳Parties | 💒Événements traditionnels | 🍽Traiteur ✨,"Boulevard Abderrahmane Ben Zidane, Meknes",https://www.instagram.com/palais_laraki/?hl=en
Dar Meryama,Venue,Casablanca,05 22860501,,"L’élégance culinaire à son sommet : excellence, raffinement et perfection.✨. Baptême. Mariage. Fiançailles.","Moulay driss 1er, Rue ibnou jaljal, Casablanca, Morocco",https://www.instagram.com/dar_meryama_/?hl=en
Ben Lahcen saida,Negafa,Casablanca,06 61088151,,,https://maps.app.goo.gl/ezR2w8JPme8YccxTA,https://www.instagram.com/negafa.soltana/?hl=enn
Ghita Boukrim,Makeup,Casablanca,0661 226 650,,,,https://www.instagram.com/ghitaboukrimmakeup/?hl=en
Le Carré d'Or,Venue,Casablanca,06-62-49-34-44,,"🔸Centre de Conférences
🔸Salle des Fêtes
🔸Lieu de tous les possibles","Route de l'Oasis, Casablanca, Morocco 20000",https://www.instagram.com/lecarredorcasablanca//
Salle Pavilion,Venue,Kenitra,06 06721454,,Pour vos fête de mariage 💒. Fiançailles💍. Soirée traditionnelle horaire de travail 14h ____ 00 h,maps.app.goo.gl/jMN1x9Lgy4u55N4v9?g_st=ic,https://www.instagram.com/salle.pavilion/
Bouchra Hiba,Venue,Rabat,06 61287869,,,,https://www.instagram.com/salle_des_fetes_hiba/
Fatima Salle des Fetes,Venue,Rabat,,,,,https://www.instagram.com/salle_des_fetes_fatima/
salle alf lila w lila,Venue,Casablanca,06.62.02.73.63,,La salle peut contenir au delá de 10 table jusqu'a 40 table.,"boulevard al adarissa, en face la maison renault. lissasfa, Casablanca, Morocco",https://www.instagram.com/salle_alf_lila_w_lila/
Amazing Event,Event Planner,Marrakech,06 1022033,,"Pour tout type d’événements, Amazing Event est une adresse de raffinement et d’originalité",,https://www.instagram.com/amazing_event_/?hl=en
Sweet Cake,Cakes,Marrakech,06 42889133,,"Cake design & Pâtisserie créative
💍Wedding cakes
🍰Party & Birthday cakes
🎉Party decorations & Buffets
Espagnole à Marrakech",,https://www.instagram.com/sweetcakemarrakech/?hl=en
Cakes’n more,Cakes,Marrakech,06 46670915, Info@cakesnmore.co,"Bento cakes, gâteaux personnalisés, mariages et buffets",,https://www.instagram.com/cakesnmore_bakery/?hl=en
Sabrina B. Cake,Cakes,Marrakech,06 43 90 64 15,,,,https://www.instagram.com/sabrina.b.cakes_marrakech/?hl=en
Salima ELfarissi,Cakes,Marrakech,06 61248960,,Artiste Cake Design,,https://www.instagram.com/elfarissisalima_cake_designer_/?hl=en
Piece of Cake,Cakes,Marrakech,,,,,https://www.instagram.com/piece_of_cake_weddings/
Delice Rais,Cakes,Marrakech,06 17997884,,,https://maps.app.goo.gl/Gna21oudGC466GSY8,https://www.instagram.com/delice_rais/?hl=en
Arijs,Cakes,Marrakech,06 65 23 18 69,,"🇫🇷 Cake Designer 🇫🇷
✨Créations sur mesures✨
- Layer cake
- Wedding cakes
- Sweet tables",,https://www.instagram.com/ar.ijs/
Mille Saveurs,Cakes,Marrakech, 06 52724790,,"🎀L’excellence du Cake Design 🎀
✨ Gâteaux d’exception pour moments inoubliables",,https://www.instagram.com/mille_saveurs_kech/?hl=en
Salle Des Fête Riad Andalous Byleila,Venue,Casablanca,06 31953982,, La plus prestigieuse des salles de réception pour réaliser le mariage de vos rêves ,,https://www.instagram.com/riad_andalous_byleila/
Salle des fêtes AFILAL,Venue,Fes,06 66422351,,,https://maps.app.goo.gl/419gNUdEjqbrWfsu7,https://www.instagram.com/salle_des_fetes_afilal/
Salle de fêtes AlHouda,Venue,Fes,06 62607836,,,,https://www.instagram.com/salle_de_fetes_alhouda/
Salle des fêtes Ryad Al Hamra,Venue,Casablanca,0661 40 33 82,,,,https://www.instagram.com/salle_des_fetes_ryad_al_hamra/
Salle des fêtes dar elbacha,Venue,Safi,06 60957584,,,,https://www.instagram.com/dar_elbacha/
salle Riad senhaji,Venue,Casablanca,06 94520840,,,,https://www.instagram.com/salle_riad_senhaji/
salle bab,Venue,Marrakech,0607-602601,,,,https://www.instagram.com/salle_bab_marrakech/
studio az1,Photographer,Casablanca,06 99-782739,,,,https://www.instagram.com/studio___az1/
Image Zineb,Photographer,Casablanca,06 99782739,,,,https://www.instagram.com/image_zineb/
Kasr Arryad,Venue,Casablanca,06 25 13 13 69,,La salle des fêtes idéale pour des événements inoubliables dans un cadre traditionnel et authentiquement marocain.,maps.app.goo.gl/8LPN2YafuP1j4fjc8?g_st=iw,https://www.instagram.com/kasr.arryad/
Salle Des Fêtes ELasmar,Venue,Casablanca,0677-772906,,,,https://www.instagram.com/salle_des_fetes_elasmar_fouad/
Salles des fêtes Palais salma,Venue,Rabat,06 41791015,,,,https://www.instagram.com/salles_des_fetes_palais_salma_/
palais kzy,Venue,Casablanca,06 64363512,,,,https://www.instagram.com/palais_kzy/
Palais Malak,Venue,Tanger,06 66173355,,,,https://www.instagram.com/palaismalak/
Afrah Nour,Caterer,Tanger, 06 61 58 83 12,,,maps.app.goo.gl/TgPzYRhcNw3RDTPU7?g_st=ic,https://www.instagram.com/traiteur_afrahnour/
Buffet bloomydays,Event Planner,Tanger, 06 56554715,,,https://maps.app.goo.gl/Q2TVmZY1qpg5ZJt46,https://www.instagram.com/buffet_bloomydays
Salle harfouch,Venue,Tanger,06 22764886,,,"ahammar, Boukhalef, Tanger, Morocco",https://www.instagram.com/salle_harfouch
Princesa eventss,Caterer,Tanger,06 72708640,,, بني مكادة قرب ، ثانوية علال الفاسي /طنجة,https://www.instagram.com/princesa_eventss/?hl=en
Tyafar princesa event,Decor,Tanger,06 72708640,,,,https://www.instagram.com/tyafar_princesa_event/?hl=en
Royal Tefour,Decor,Tanger,06 11 56 26 39,,,,https://www.instagram.com/royal.tefour/
Tyafer Laylati,Decor,Casablanca,06 41705333,,, lotissement sabrine N20 quartier florida Sidi maarouf Casablanca.,https://www.instagram.com/tyafer_laylati/?hl=en
Bloom and bliss events,Decor,Tanger,06 06062030,,,"Souani 4 Val fleuri № 10 , Tanger",https://www.instagram.com/bloomandblissevents/
Deserved Events,Event Planner,Tanger,,,,,https://www.instagram.com/deservedevents/
Ddil Boutahar,Decor,Tanger,06 11-624010,,,,https://www.instagram.com/adil_boutahar/
Palais Benbatouta,Venue,Tanger,05 39 39 28 82,,,Tanger Km. 10 Angle route de Rabat ou route de l'aèroport boukhalef Gzenaya,https://www.instagram.com/palais_benbatouta/
Palais Nina,Venue,Tanger,06 02122466,,,"13 rue iberie, Tanger Boukhalef, Tanger, Morocco",https://www.instagram.com/palais__nina/
Tanguif Zhour,Caterer,Rabat,06 61605145,,,,https://www.instagram.com/tanguif_zhour/
Camera Youness,Photographer,Rabat,06 61113691,,,"Av omar inb al khattab hay tarik fes, Fès Jdid, Fès, Morocco 30300",https://www.instagram.com/camera_youness/?hl=fr
Abdellah el yaakoubi,Artist,Fes,06 61722005,,,,https://www.instagram.com/yaakoubichrif/?hl=fr
Palais Hiba,Venue,Fes,06 61835256,,palais Hiba est le lieu parfait pour vos fêtes et événements,Route d’Imouzzer (avant le golf royal ⛳️) FES,https://www.instagram.com/palais_hiba/
Nadia Elguerch,Makeup,Fes,05 35 622131,,Professional MUA certified by HELDER MARRUCI,,https://www.instagram.com/nadia_elguerch
Golden Luxury Events,Event Planner,Fes,,,,,https://www.instagram.com/goldenluxuryevents
Dar Lmellalia,Negafa,Beni Mellal,0667 47 43 86,,,,https://www.instagram.com/dar_lmellalia/
Adama Events,Decor,Beni Mellal,06 67444423,," Photographe & Décoration, Construction chapiteaux, Éclairage,Écran géant",,https://www.instagram.com/studio_adama/?hl=fr
Traiteur Afrah Day,Caterer,Beni Mellal,06 10722540,,,,https://www.instagram.com/traiteur_afrah_day
Groupe Oulad Nass,Artist,Beni Mellal,06 22-365501,,,,https://www.instagram.com/groupe_oulad_nass
Bahi Event,Venue,Casablanca,06 71 89 88 89,,Mariages de prestige & événements haut de gamme,,https://www.instagram.com/bahi_event//
Dar Laarssan by Bouchra,Dresses,Rabat / Salé,06 63660185,,Service Location Des Costumes et beldi &selham .,https://maps.app.goo.gl/pSrgzDtRiWtGWP3M7,https://www.instagram.com/dar_laarssan_by_bouchra
Caftan Chaimaa,Dresses,Beni Mellal,06 33077836,,,https://maps.app.goo.gl/As2Dw2XUCccs8bqDA,https://www.instagram.com/caftanchaimaa_kh/?hl=fr
Yassine Darchorafa,Artist,Rabat,06 73332045,,Bola bola / issawa,,https://www.instagram.com/yassine.darchorafa
Photo Berrada,Photographer,Rabat,06 60‑595980‬,,"Au plaisir de vous accompagner ! Rabat, Casablanca, Morocco",,https://www.instagram.com/photo_berrada_
Piro Samar,Makeup,Rabat,06 61049654,,"2 Twins named SAMAR to style your hair, Bridal HAIR ART",,https://www.instagram.com/samar_piro_sarah/
Madiha Chabrakhit,Makeup,Casablanca,06 61156662,,Makeup Artist - Bridal,,https://www.instagram.com/madihachabrakhitmakeupartist
Negafa Tadlaouia,Negafa,Casablanca,06 69812345,,,,https://www.instagram.com/negafa_tadlaouia
Issawa zakaria faida,Artist,Casablanca,06 10 14 94 28,,Issawa / Bola Bola / Dakka Marrakchia,,https://www.instagram.com/issawa_zakaria_faida
Salima Elgoumry El Goumry,Caterer,Casablanca,06 02384256,,Traiteur El Goumry Salima 👑 luxury wedding & Event planner,,https://www.instagram.com/traiteurelgoumry.official
Benjelloun Benkacem Laila,Caterer,Casablanca, 06 78 89 44 44,,,"7, Rue Ifrane Quartier CIL, Casablanca, Morocco",https://www.instagram.com/amandetmieltraiteur
Youssef Wahbi,Artist,Rabat,06 61383279,,,,https://www.instagram.com/youssef.wahbi/?hl=fr
El Ouardi Traiteur,Caterer,Casablanca,,, Weddings & event management,,https://www.instagram.com/elouarditraiteur/?hl=fr
Negafa Dar Benjellon,Negafa,Tanger,06 61436382,,,,https://www.instagram.com/negafa_dar_benjelloun/
Mirage Photographie,Photographer,Rabat,,,,,https://www.instagram.com/mirage_sophistique/?hl=fr
Negafa el wazzania,Negafa,Beni Mellal,06 74-058972,,,,https://www.instagram.com/negafa_el_wazzania/?hl=fr
Groupe Saada,Artist,Beni Mellal,06 98556044,,"🥁 الطائفة العيساوية🤍بولا بولا🤍
🎵 الفولكلور الشعبي 🤍الدقة الملالية🤍",,https://www.instagram.com/groupe_saada_beni_mellal/?hl=fr
Maison Alarouss,Negafa,Beni Mellal,06 61865934,, Negafa & makeup artist🧖🏼‍♀️ Hammam arouss 💍 Organisation de mariage,,https://www.instagram.com/maison_alarouss/?hl=fr
Negafa khadija achraf,Negafa,Beni Mellal,06 66291768,,,https://maps.app.goo.gl/yYHukpQfsgrc2yQM7,https://www.instagram.com/negafakhadijaachraf/?hl=fr
Espace Aicha Events,Venue,Beni Mellal,06 62067119,,"Salle de fêtes,Traiteur événementiel et cuisine de qualité 🤩🍴
Réceptions, cocktails, fêtes de mariage et toutes vos cérémonies 🍹✨ ",,https://www.instagram.com/salle.espaceaicha/?hl=fr
Tangif Caftan Nor,Negafa,Beni Mellal,06 80358810,,,maps.google.com/?q=32.348068%2C-6.358809,https://www.instagram.com/caftannor/
Ismail Hafid,Artist,Casablanca,06 61 69 80 17,, Animateur DJ / Chanteur,,https://www.instagram.com/dj_ismail_officiel/?hl=fr
Orchestre Karawan,Artist,Marrakech,06 61 902241,Omarkarawan.artist@gmail.com,,,https://www.instagram.com/omar_karawan_/?hl=frr
Noujoum Fes Bola Bola,Artist,Fes,06 63 19 50 25,,Aissaoua Bola Bola,,https://www.instagram.com/noujoum_fes.bola_bola/?hl=en
Fleuritel,Florist,Casablanca,05 22 25 30 00, Contact@fleuritel.com,"Vous voulez célébrer une naissance, un mariage, 5 mois avec votre copain/copine ou juste faire plaisir?",https://maps.app.goo.gl/DyJzzzALi2eJVK857,https://www.instagram.com/fleuritelcasablanca/?hl=en
Rêves de Fleurs,Florist,Casablanca,06 17492555,,"Artiste floral, Magasin à Casablanca.
Compositions florales / Cadeaux Corporate / Plantes / Fleurs séchées",https://maps.app.goo.gl/98LeDt9D17SLGw4c7,https://www.instagram.com/revesfleurs/?hl=en
Fleurs Alliance,Florist,Casablanca,06 66 655 233,,"-Floral & Events
✨Natural ✨Artificial✨ Dried","72 Rue Moussa bnou noussair Gauthier,maarif,Casablanca",https://www.instagram.com/fleurs_alliancee
Mon Bouquet,Florist,Casablanca,06 60746505,,"Boîtes de signature luxueuses et exclusives.
Évents•Corporates•weddings","1 rue Al Bouhtouri Gauthier, Casablanca, Morocco 20000",https://www.instagram.com/monbouquet.fleuriste/
Wanda Fleurs,Florist,Casablanca,07 64055803,,Maître Fleuriste depuis 1970® plus de 50 ans à vos côtés. ,"17 rue d'agadir, Casablanca, Morocco 20250",https://www.instagram.com/moonsevents.elb/
Mariem Fleuriste,Florist,Casablanca,05 22996033,mariemfleurs@gmail.com,,"5, Bd ain Harrouda, triangle d'or, racine, Casablanca, Morocco 20000",https://www.instagram.com/mariemfleuriste/?hl=en
Carrement Fleurs,Florist,Marrakech,,,"🌸 Créations Florales | Floral Design
🌿 Événements & Mariages | Events & Weddings",,https://www.instagram.com/carrement_fleurs/
Imagine Media,Photographer,,06 61 72 89 93,,Régie-Grue/Photobook/drone/écran géant,,https://www.instagram.com/imagine_mediaa/?hl=en
Blooming Flowers,Florist,Casablanca,05 22 52 37 51,,,"808 boulevard Al Qods, Californie, Casablanca, Morocco",https://www.instagram.com/blooming_flowers_maroc/?hl=en
Signature Florale,Florist,Rabat,07 08 141 516,,"▫️L’art floral au service de vos émotions
▫️Luxury floral design for Hotels & Events",https://maps.app.goo.gl/kyJXv7QFmPkLv2Tu6,https://www.instagram.com/signatureflorale/?hl=en
Mi Event S,Florist,Rabat,06 67 19 70 72,,"Pour faire de vos rêves, un bonheur éveillé.
Organisation - Décoration - Mobilier.",,https://www.instagram.com/mi_event_s/
Ffleuriste Noureddine,Florist,Casablanca,06 63840535,,,"Marché des fleurs route el jadida magasin numéro 4, Casablanca, Morocco 20000",https://www.instagram.com/fleuriste_noureddine/?hl=en
Home Flower,Florist,Casablanca,,,,"Bo village mall, Bouskoura, Casablanca, Morocco 20470",https://www.instagram.com/homeflower_rb/?hl=en
Family Fleurs,Florist,Casablanca,06 91397363,,décoration florale💐 & événements mariages & pack fiançailles,"
Boulevard moulay thami, Casablanca, Morocco",https://www.instagram.com/family_fleurs/?hl=en
Nina Artisan Fleuriste,Florist,Casablanca,06 62505713,,"💐Bouquets 🪷Compositions ⚘️Fleurs séchées 🪴Plantes et Orchidées
Fraîcheur Qualité Finition garanties","10 rue imam al aouzai Maarif-Extension, Casablanca, Morocco",https://www.instagram.com/ninaartisanfleuriste/
Renaissance Fleurs,Florist,Casablanca,06 64868485,,,https://maps.app.goo.gl/Z5DmepDh3PrKANTa9,https://www.instagram.com/renaissancefleurs/?hl=en
Instants Magiques Marrakech,Event Planner,Marrakech, 06 62 55 16 37,marrakechinstantsmagiques@gmail.com,We organize your events from concept to reality ,,https://www.instagram.com/instants_magiques_marrakech/?hl=en
Traiteur Cookies,Caterer,Casablanca,06 71982598,,Organisateur d’événements | Mariage | Bar Mitsvah | Brit Mila | Engagement |,"64, Rue El Mourakouchi, Casablanca, Morocco",https://www.instagram.com/traiteurcookies/?hl=en
Floravea,Florist,Casablanca,06 63373017,,,,https://www.instagram.com/floravea01/?hl=en
Déco & Marc,Florist,Casablanca,06 74971315,,"Fleuriste Casablanca Maroc
À Casablanca Maroc, découvrez notre atelier floral qui privilégie la fraîcheur et la diversité. Profitez de livraisons rapides pour toutes vos occasions : anniversaires, mariages, événements professionnels ou particuliers. Nos créations personnalisées apportent élégance et originalité à votre quotidien","boulevard ghandi, quartier Riviera (en face clinique Riviera), Casablanca, Morocco 2025
",https://www.instagram.com/deco_marc_gifts/?hl=en
Coqlicot Atelier Floral,Florist,Casablanca,06 69 12 40 59,,,"19, Rue Badr Essayab (ex rue picardie) Gauthier, Casablanca, Morocco",https://www.instagram.com/coqlicotmaroc/
Farasha Farmhouse,Venue,Marrakech,06 61-324475,hello@farashafarmhouse.com,Celebrate your special day by a ceremony surrounded by nature in our olive groves with views on the mountains. Feast on a farm to fork supper and dance the night away under the stars.,https://maps.app.goo.gl/7zWyU5hzFcJuhKSU7,https://www.instagram.com/farmhousemarrakech/
